"""","小学校数(校)","学級編制方式別学級数_学級数総　数(学級)","学級編制方式別学級数_単式学級(学級)","学級編制方式別学級数_複式学級(学級)","学級編制方式別学級数_特別支援学級(学級)","学級編制方式別児童数_児童数総　数(人)","学級編制方式別児童数_単式学級(人)","学級編制方式別児童数_複式学級(人)","学級編制方式別児童数_特別支援学級(人)"
"平成26年(2014年)","271.0","2403.0","1932.0","138.0","333.0","49325.0","47254.0","1079.0","992.0"
"","","","","","","","","",""
"   和歌山市","59.0","761.0","666.0","4.0","91.0","18666.0","18295.0","52.0","319.0"
"   海 南 市","17.0","117.0","93.0","3.0","21.0","2368.0","2306.0","13.0","49.0"
"   橋 本 市","16.0","171.0","138.0","4.0","29.0","3386.0","3246.0","36.0","104.0"
"   有 田 市","7.0","75.0","63.0","0.0","12.0","1492.0","1468.0","0.0","24.0"
"   御 坊 市","6.0","59.0","51.0","0.0","8.0","1271.0","1247.0","0.0","24.0"
"   田 辺 市","28.0","211.0","157.0","28.0","26.0","3951.0","3660.0","218.0","73.0"
"   新 宮 市","5.0","62.0","50.0","4.0","8.0","1446.0","1383.0","39.0","24.0"
"   紀の川市","19.0","163.0","128.0","3.0","32.0","3172.0","3042.0","19.0","111.0"
"   岩 出 市","6.0","126.0","112.0","0.0","14.0","3425.0","3363.0","0.0","62.0"
"","","","","","","","","",""
"   紀美野町","6.0","22.0","15.0","4.0","3.0","293.0","267.0","21.0","5.0"
"","","","","","","","","",""
"   かつらぎ町","5.0","44.0","35.0","2.0","7.0","771.0","748.0","5.0","18.0"
"   九度山町","5.0","10.0","7.0","1.0","2.0","185.0","178.0","4.0","3.0"
"   高 野 町","3.0","11.0","7.0","2.0","2.0","92.0","82.0","8.0","2.0"
"","","","","","","","","",""
"   湯 浅 町","5.0","40.0","31.0","3.0","6.0","621.0","578.0","28.0","15.0"
"   広 川 町","5.0","28.0","22.0","2.0","4.0","403.0","371.0","23.0","9.0"
"   有田川町","14.0","87.0","59.0","16.0","12.0","1355.0","1254.0","78.0","23.0"
"","","","","","","","","",""
"   美 浜 町","2.0","15.0","12.0","0.0","3.0","342.0","336.0","0.0","6.0"
"   日 高 町","3.0","25.0","20.0","2.0","3.0","486.0","451.0","30.0","5.0"
"   由 良 町","3.0","18.0","11.0","4.0","3.0","281.0","227.0","50.0","4.0"
"   印 南 町","4.0","30.0","27.0","0.0","3.0","462.0","455.0","0.0","7.0"
"   みなべ町","5.0","44.0","37.0","1.0","6.0","813.0","792.0","9.0","12.0"
"   日高川町","9.0","46.0","23.0","16.0","7.0","518.0","379.0","128.0","11.0"
"","","","","","","","","",""
"   白 浜 町","11.0","69.0","52.0","10.0","7.0","973.0","893.0","61.0","19.0"
"   上富田町","5.0","41.0","36.0","0.0","5.0","858.0","836.0","0.0","22.0"
"   すさみ町","3.0","12.0","6.0","5.0","1.0","155.0","128.0","26.0","1.0"
"","","","","","","","","",""
"   那智勝浦町","6.0","43.0","31.0","5.0","7.0","685.0","612.0","47.0","26.0"
"   太 地 町","1.0","7.0","6.0","0.0","1.0","120.0","118.0","0.0","2.0"
"   古座川町","3.0","12.0","5.0","5.0","2.0","89.0","46.0","41.0","2.0"
"   北 山 村","1.0","4.0","1.0","2.0","1.0","14.0","2.0","11.0","1.0"
"   串 本 町","9.0","50.0","31.0","12.0","7.0","632.0","491.0","132.0","9.0"
