"""","生徒 総数_女(人)","１学年_男(人)","１学年_女(人)","２学年_男(人)","２学年_女(人)","３学年_男(人)","３学年_女(人)"
"平成26年(2014年)","14067.0","4707.0","4615.0","4903.0","4603.0","4851.0","4849.0"
"","","","","","","",""
"   和歌山市","5840.0","1836.0","1919.0","1932.0","1933.0","1868.0","1988.0"
"   海 南 市","616.0","219.0","196.0","227.0","211.0","249.0","209.0"
"   橋 本 市","913.0","309.0","314.0","319.0","286.0","323.0","313.0"
"   有 田 市","391.0","155.0","122.0","128.0","131.0","138.0","138.0"
"   御 坊 市","361.0","126.0","114.0","140.0","127.0","153.0","120.0"
"   田 辺 市","1118.0","382.0","361.0","396.0","382.0","363.0","375.0"
"   新 宮 市","467.0","148.0","164.0","163.0","142.0","161.0","161.0"
"   紀の川市","844.0","290.0","299.0","298.0","261.0","311.0","284.0"
"   岩 出 市","820.0","299.0","259.0","317.0","270.0","294.0","291.0"
"","","","","","","",""
"   紀美野町","98.0","47.0","34.0","33.0","34.0","40.0","30.0"
"","","","","","","",""
"   かつらぎ町","166.0","64.0","50.0","62.0","57.0","74.0","59.0"
"   九度山町","56.0","14.0","25.0","13.0","12.0","21.0","19.0"
"   高 野 町","20.0","9.0","6.0","7.0","6.0","5.0","8.0"
"","","","","","","",""
"   湯 浅 町","178.0","61.0","64.0","64.0","49.0","68.0","65.0"
"   広 川 町","112.0","36.0","38.0","32.0","30.0","27.0","44.0"
"   有田川町","369.0","123.0","123.0","141.0","112.0","141.0","134.0"
"","","","","","","",""
"   美 浜 町","83.0","29.0","21.0","26.0","30.0","41.0","32.0"
"   日 高 町","88.0","43.0","27.0","51.0","29.0","39.0","32.0"
"   由 良 町","65.0","18.0","13.0","25.0","31.0","34.0","21.0"
"   印 南 町","124.0","28.0","37.0","44.0","50.0","27.0","37.0"
"   みなべ町","193.0","77.0","60.0","77.0","66.0","72.0","67.0"
"   日高川町","212.0","65.0","67.0","64.0","69.0","49.0","76.0"
"","","","","","","",""
"   白 浜 町","244.0","98.0","86.0","97.0","80.0","98.0","78.0"
"   上富田町","216.0","66.0","64.0","80.0","61.0","87.0","91.0"
"   すさみ町","39.0","19.0","12.0","17.0","12.0","16.0","15.0"
"","","","","","","",""
"   那智勝浦町","187.0","59.0","60.0","58.0","64.0","64.0","63.0"
"   太 地 町","35.0","15.0","14.0","15.0","11.0","10.0","10.0"
"   古座川町","46.0","19.0","15.0","14.0","10.0","14.0","21.0"
"   北 山 村","2.0","0.0","1.0","3.0","1.0","0.0","0.0"
"   串 本 町","164.0","53.0","50.0","60.0","46.0","64.0","68.0"
